slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
56.0,11.0,0.0,1358638.1354447985,15538319.280109826,226448.02257413304,31839627.212434255,26117.40358848332,3.012549627773933e+37,1.069072856928483e+29,0.0,1.2720084747894215e+51,4.892129817060348e+42,0.0,0.0018353813599264197,0.008471900219365258,0.001929026603043712,8.875306835075162e-05
57.0,11.0,0.0,1630375.7625337583,15266581.653020866,271737.6270889596,31810205.738617636,26049.85046954303,3.0347781536808585e+37,1.0501859005939379e+29,0.0,1.5320743290986767e+51,5.792088494732503e+42,0.0,0.0018163804176384432,0.00836470682818345,0.0019290306939417645,8.900956222259365e-05
58.0,11.0,0.0,1956460.9150405098,14940496.500514114,326085.15250675153,31791205.731361624,25974.823918717437,3.0624617438234016e+37,1.031943011542475e+29,0.0,1.847000174494333e+51,6.853278976427851e+42,0.0,0.0017983496429365628,0.008252122751244975,0.0019290354031623446,8.926858683024789e-05
59.0,11.0,0.0,2347763.0980486115,14549194.317506012,391302.1830081018,31786544.03618944,25889.714579877193,3.097004810337502e+37,1.0144365006110628e+29,0.0,2.2291738398694106e+51,8.105104335028272e+42,0.0,0.0017812847060020426,0.008135600024981097,0.0019290408463482405,8.953904642244416e-05
60.0,11.0,0.0,2699009.098430881,14197948.317123743,351246.00038226927,31795014.73233339,25815.42883964313,3.1290422997899914e+37,1.001482002561818e+29,0.0,2.575774534503703e+51,9.21443532034274e+42,0.0,0.0017686421636269535,0.00804347579361965,0.0019290456101325186,8.975823074823733e-05
61.0,11.0,0.0,3025557.015797405,13871400.39975722,326547.91736652417,31812456.146898843,25747.22262933764,3.1597056759515483e+37,9.912784417179685e+28,0.0,2.9011615028261197e+51,1.0235255358642173e+43,0.0,0.0017586661798037564,0.007967097336490123,0.0019290499616971995,8.994515792274008e-05
62.0,11.0,0.0,3334475.192747288,13562482.222807337,308918.176949883,31836626.30053936,25683.559749830558,3.189459010392868e+37,9.831654754778931e+28,0.0,3.211879991125067e+51,1.1193059454235734e+43,0.0,0.0017505817755895832,0.0079020261289228,0.0019290540302150958,9.010889161369332e-05
63.0,11.0,0.0,3630305.8833118486,13266651.532242775,295830.6905645607,31866161.716421816,25622.751771338728,3.2186595537199426e+37,9.76562473003739e+28,0.0,3.512158933023111e+51,1.2104125508898113e+43,0.0,0.0017438004261934935,0.007845513015616146,0.001929057897745903,9.025489162337572e-05
64.0,11.0,0.0,3916365.0153064053,12980592.400248218,286059.13199455675,31900587.24029894,25562.922627734108,3.247560146276847e+37,9.70912866087293e+28,0.0,3.8051265554596494e+51,1.2980001616371415e+43,0.0,0.0017379108269758548,0.007795775092968562,0.0019290616221304254,9.038668125363425e-05
65.0,11.0,0.0,4193242.484358459,12703714.931196164,276877.4690520531,31939010.123558026,25504.616908579537,3.276130125761125e+37,9.66210700247846e+28,0.0,4.0911853911563175e+51,1.3823658911230389e+43,0.0,0.0017328944355030722,0.007751768180633007,0.0019290652226618369,9.050608774376029e-05
