slice,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
1270.0,13416312.704370886,14601.662853423506,69.09854671998946,338117763.31486285,3182.840876943257,1.18336787594442e+38,4.0533748437088474e+36,4.56350218359752e+32,0.08753659943620645,0.18663332721838552,0.003388373978704228,3.725054364200183e-05
1271.0,13416385.257844944,14529.10937936604,72.55347405598894,339761653.6965656,3181.525447239014,1.1986791280757018e+38,4.213922804530393e+36,4.969216614028479e+32,0.0875365955236428,0.18663341846310805,0.0033883782995067515,3.725276030123622e-05
1272.0,13416453.515043613,14460.852180697024,68.25719866981754,341485424.17052156,3179.9385907718447,1.2167352485832823e+38,4.370187705699744e+36,5.405754305002816e+32,0.0875365819510583,0.18663350286631525,0.003388408615252165,3.7254882727360926e-05
1273.0,13416520.33556393,14394.031660379842,66.82052031554947,343172698.6932935,3178.642893366202,1.2281007908566577e+38,4.528443824489105e+36,5.8618549284091264e+32,0.08753659033384159,0.18663358718611864,0.0033884158851985886,3.72570424672787e-05
1274.0,13416584.842389043,14329.524835266173,64.50682511514643,344878484.1298734,3177.3782428657846,1.2480992764516146e+38,4.6854001738472413e+36,6.330745422492716e+32,0.08753656523708579,0.1866337042292999,0.0033884449136502566,3.725914422439282e-05
1275.0,13416647.653356582,14266.713867727667,62.81096753869869,346217460.594283,3176.0261837035623,1.2579121843752328e+38,4.84449994113534e+36,6.837597728686733e+32,0.08753657575291308,0.1866337971934308,0.0033884572851722197,3.726126637196734e-05
1276.0,13416713.604872499,14200.762351810932,65.95151591563362,347895083.0534428,3174.6304786263845,1.2722071654941207e+38,5.0166588204423877e+36,7.343002080911585e+32,0.08753660693418647,0.18663388014110036,0.0033884724573388664,3.726353953096202e-05
1277.0,13416782.85396421,14131.513260100037,69.2490917114153,349658860.8058934,3172.9466590853567,1.2868899190661384e+38,5.203654083380354e+36,7.925127675970837e+32,0.08753665897102193,0.186633970825601,0.0033884762434263855,3.726599533994491e-05
1278.0,13416848.876474882,14065.490749428049,66.02251067234529,351416386.59923804,3171.695853104211,1.3027983280933603e+38,5.387226174006485e+36,8.568598195610521e+32,0.08753672124407333,0.18663406026477689,0.003388478921972193,3.726837653546881e-05
1279.0,13416912.773361173,14001.593863137066,63.89688629126165,352922185.4769893,3170.3152278224325,1.3185405697770794e+38,5.571696826466333e+36,9.252135250145208e+32,0.08753679434346723,0.1866341499925277,0.003388481356284579,3.7270713439161685e-05
1280.0,13416979.865091778,13934.502132531255,67.09173060582474,354697702.4458029,3168.9941500234727,1.336066486127245e+38,5.770760871597171e+36,9.923922502702175e+32,0.08753688676986744,0.18663424806001927,0.0033884846295667848,3.727320285838426e-05
1281.0,13417050.311408915,13864.055815394968,70.44631713611598,356561708.8807885,3167.760414061099,1.3549603010281475e+38,5.986909794514656e+36,1.0701885665169951e+33,0.08753700482651021,0.1866343555905468,0.003388487504433094,3.727585531981409e-05
1282.0,13417116.256679157,13798.110545152798,65.94527024490905,358366429.73060524,3165.7758427885947,1.3734124169005297e+38,6.195027443600797e+36,1.1558695032218084e+33,0.08753713594435511,0.18663446076972504,0.0033884902907010926,3.727836449178074e-05
1283.0,13417179.690228157,13734.676996152848,63.433548998914794,359734619.97287387,3164.4892151097447,1.3928797168795696e+38,6.403149301332871e+36,1.2468129681547772e+33,0.08753727432162933,0.18663457471045117,0.0033884978712451276,3.728078978651177e-05
1284.0,13417246.295454605,13668.071769705042,66.60522644886053,361505710.5733108,3163.416759265786,1.41260832686647e+38,6.627193897277394e+36,1.331545515851933e+33,0.08753745299460601,0.18663469361683277,0.0033885039498847947,3.728336073126658e-05
1285.0,13417316.230942376,13598.136281933635,69.93548777130357,363146158.82159185,3162.35822371788,1.4355492014401777e+38,6.870924926062669e+36,1.433093385242145e+33,0.08753767205243014,0.18663482896315167,0.0033885112194195367,3.728608084057446e-05
1286.0,13417389.663204536,13524.704019773751,73.43226215986876,365192239.5595625,3160.512206176851,1.460217160599224e+38,7.133150825776099e+36,1.5411963774080886e+33,0.08753795265822338,0.18663497261149453,0.0033885171258427288,3.7288959133918175e-05
1287.0,13417466.767079802,13447.600144507363,77.1038752678622,367193257.9558917,3159.1769330745205,1.4879097725826702e+38,7.420654939729892e+36,1.6701288755066125e+33,0.08753830846267924,0.18663512833023022,0.003388522553707581,3.729199891228415e-05
1288.0,13417536.208210034,13378.159014275298,69.44113023313899,369008708.8561922,3158.513978400065,1.5148355960998048e+38,7.688482613072144e+36,1.8129397232145248e+33,0.08753868499376789,0.18663527400834046,0.0033885272340580526,3.7294745372834424e-05
1289.0,13417603.345855769,13311.021368540823,67.13764573341396,370750831.7426404,3157.3742890102053,1.5422612958677317e+38,7.954761311689987e+36,1.951885663082044e+33,0.08753910814926243,0.18663542077591347,0.0033885317827321185,3.7297404385524434e-05
1290.0,13417669.52823632,13244.838987989351,66.18238055090593,372469608.6408982,3155.6363645891593,1.5715434677958813e+38,8.225098645968203e+36,2.09348186521091e+33,0.0875395901216902,0.18663557189934357,0.0033885368944643586,3.7300025651552854e-05
1291.0,13417735.503821539,13178.863402770832,65.97558521667935,374178053.30411947,3154.672375537486,1.602430238496419e+38,8.501856877527479e+36,2.2422424542050402e+33,0.08754014435814962,0.1866357290657258,0.003388541815164073,3.7302659726132607e-05
1292.0,13417804.778186016,13109.589038293809,69.27436447751332,376012472.29103,3153.6315605608206,1.6378900571523065e+38,8.800268664394277e+36,2.396916065746601e+33,0.08754081843142922,0.18663590209848113,0.0033885472065790932,3.7305424017144505e-05
1293.0,13417877.516268717,13036.850955592468,72.73808270138898,377897809.6379519,3152.3526864086275,1.6768634686989332e+38,9.121586134893719e+36,2.575549886058527e+33,0.0875416406538335,0.18663609289282862,0.0033885532242154542,3.73083101437727e-05
1294.0,13417946.854580214,12967.512644095346,69.33831149595541,379687521.1695037,3150.513241518054,1.717824641586045e+38,9.437627140842241e+36,2.7659709295685925e+33,0.08754254368504587,0.18663628367618892,0.003388559487606174,3.731104187129943e-05
1295.0,13418015.154911496,12899.212312813848,68.30033128123064,381416047.4952637,3149.4313505212644,1.760162289363416e+38,9.756547666139623e+36,2.967667212414395e+33,0.08754356304725823,0.1866364801059571,0.003388565940394161,3.731369230888491e-05
1296.0,13418086.87025934,12827.496964968741,71.71534784529217,383308130.5368848,3148.1901097262426,1.809117011591878e+38,1.0098676953217401e+37,3.1595354785094035e+33,0.08754479706133403,0.1866366963080038,0.003388573134203353,3.731648442354483e-05
1297.0,13418162.17137458,12752.195849729702,75.30111523755679,385435757.9234329,3147.044455281892,1.8646056889112276e+38,1.0463293102186051e+37,3.376066387461173e+33,0.08754629817672999,0.18663693464497325,0.003388581170166091,3.731936114497477e-05
1298.0,13418231.950724943,12682.416499366984,69.77935036197124,387202784.52976805,3146.1892586599,1.9185521240503516e+38,1.0813304534949266e+37,3.6393886187985133e+33,0.08754788694554806,0.18663716543805495,0.003388589029695707,3.732201733100909e-05
1299.0,13418305.21904282,12609.148181488737,73.2683178800698,389043771.3496738,3144.957705179167,1.9784683734182556e+38,1.1188416589493405e+37,3.885293848991234e+33,0.08754979928565236,0.1866374188806945,0.0033885977386933696,3.7324759790073214e-05
