slice,mass (Msun),coupling,age (years),time to solar luminosity (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,avg X_h1,avg X_he3,avg X_he4,avg X_n14,avg X_mg24,avg X_si28,avg X_s32,avg X_ar36,avg X_ca40,avg X_ti44,avg X_cr48,avg X_fe52,avg X_fe54,avg X_ni56,avg X_neut,avg X_prot,max T (K),surface lum_nuc (ergs/s),cumulative e_nuc (ergs),surface R (Rsun)
21.0,10.99999864909312,-10.0,2250.2559954684843,17185279.841827348,383.3759992447472,32786325.840314157,27416.43496294413,3.118101012682526e+37,2.0786245598666374e+36,2.6264091891433287e-33,3.725624468620351e-27,2.2303169485849858e+48,1.485284212091277e+47,1.6524273410250729e-22,0.0016771879286887371,0.006549526334267139,0.0013503023015131621,3.4125202545193334e-05,0.7177718841325608,1.8305011289984408e-05,0.268089095559705,0.0015802130533290166,0.0004891806829464309,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32786325.840314157,2.9766003737979514e+37,2.1233037942042796e+48,4.000279377613766
22.0,10.999998376539406,-10.0,2710.307194562181,17184819.790628254,460.05119909369665,32793903.121238068,27409.765723973844,3.107364912537796e+37,2.0822262146319648e+36,2.750276133879679e-33,3.9013327025355375e-27,2.6811388760093664e+48,1.7873772271814501e+47,2.0514422049125243e-22,0.001675326708159236,0.006549045907527113,0.0013503023056198296,3.424214808286375e-05,0.7177685459380168,1.8268647206122935e-05,0.26809221488407387,0.0015828048506776268,0.0004891806829752599,0.0022711773022297977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32793903.121238068,2.9835175333533444e+37,2.556157727600951e+48,3.995330198961359
23.0,10.999998051004328,-10.0,3262.368633474617,17184267.72918934,552.061438912436,32801507.54062636,27401.090849214797,3.0947375633822976e+37,2.086773762975448e+36,2.8854323725546036e-33,4.093055070845646e-27,3.219926791481011e+48,2.150680564794886e+47,2.553790485308877e-22,0.0016731240962516865,0.006548467104792293,0.0013503023106278885,3.4382177443431575e-05,0.7177645288705168,1.8226697312360067e-05,0.26809597306208927,0.0015858810169627326,0.0004891806830104146,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32801507.54062636,2.9916214539039205e+37,3.0769933248098855e+48,3.9897290621301096
24.0,10.999997662495092,-10.0,3924.8423601695404,17183605.255462646,662.4737266949231,32808644.122470316,27389.89169285458,3.080020900601865e+37,2.0914671865848347e+36,3.026577478329621e-33,4.293272790870047e-27,3.8633977184945565e+48,2.58762510926443e+47,3.1860961346888923e-22,0.001670513085804541,0.006547770058709689,0.0013503023167446703,3.4549621014067485e-05,0.717759694862731,1.8178444385791702e-05,0.26810050000560703,0.0015895371111400154,0.0004891806830533501,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32808644.122470316,2.9996588203456857e+37,3.703675189687822e+48,3.9834869452172055
25.0,10.999997199226947,-10.0,4719.810832203449,17182810.286990613,794.9684720339078,32814760.616924603,27375.680931584066,3.063114849350667e+37,2.0954202498793355e+36,3.166484833928299e-33,4.491734732563306e-27,4.631324462605471e+48,3.112949600566161e+47,3.9799378639046996e-22,0.001667419790061641,0.006546931239918955,0.0013503023242263336,3.474948154969809e-05,0.7177538804908055,1.8123132510843816e-05,0.2681059503036213,0.0015938799226152913,0.0004891806831058638,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32814760.616924603,3.0062789419401777e+37,4.457353100348833e+48,3.976664714538969
26.0,10.99999664730343,-10.0,5673.772998644137,17181856.32482417,953.9621664406893,32819226.181979407,27358.086918037876,3.0440876080677583e+37,2.0977148698432874e+36,3.2953734393356354e-33,4.674566312660143e-27,5.5471123715625513e+48,3.744029307060337e+47,4.971322981482665e-22,0.0016637644137203727,0.00654592296302495,0.0013503023333891256,3.498747264421801e-05,0.7177468934229765,1.8059996771950563e-05,0.26811250696588235,0.001599026770629024,0.0004891806831701754,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32819226.181979407,3.010126399147138e+37,5.362924067973265e+48,3.969395014661655
27.0,10.999995990312494,-10.0,6818.527598372964,17180711.57022444,1144.754599728827,32820051.93159727,27336.106984721897,3.022976352988069e+37,2.1060038297346924e+36,3.364741758373059e-33,4.772966938054385e-27,6.638436492113823e+48,4.50431735069357e+47,6.186027766291517e-22,0.0016592370252877394,0.006544713678169945,0.0013503023445608146,3.527055300010589e-05,0.7177384785526905,1.7985865816300187e-05,0.26812038025626145,0.0016053668480485593,0.0004891806832485865,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32820051.93159727,3.0196186645557356e+37,6.453036030059626e+48,3.9619705253109574
28.0,10.999995208855337,-10.0,8192.233118047558,17179337.86470477,1373.7055196745926,32814559.480646186,27308.579569797497,2.99998459463649e+37,2.1188217974490308e+36,3.3274718109010246e-33,4.720098623086565e-27,7.938065136382726e+48,5.422215897569191e+47,7.627527728049918e-22,0.0016533044007358976,0.0065432688802681705,0.00135030235809264,3.5606507659203945e-05,0.717728323147523,1.7897140071841582e-05,0.26812980161077327,0.001613552441523093,0.0004891806833435664,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32814559.480646186,3.033819421829777e+37,7.76732231979541e+48,3.954836065475873
29.0,10.999994279914683,-10.0,9840.679741657068,17177689.418081157,1648.446623609511,32811958.81260246,27282.729695069047,2.978144607759909e+37,2.0879451143771593e+36,3.37823971239004e-33,4.792114109778369e-27,9.486265902189157e+48,6.507642782690114e+47,9.383719585279438e-22,0.00164728560736067,0.006541540332905761,0.0013503023747296597,3.6002813402137724e-05,0.7177163210426613,1.7802419525363433e-05,0.2681410941433421,0.0016220868460696332,0.0004891806834603435,0.002271177302229797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32811958.81260246,2.9910690309642467e+37,9.322241900346573e+48,3.947884575199438
30.0,10.999993175246182,-10.0,11818.815689988482,17175711.282132827,1978.1359483314131,32787272.958229758,27243.086653874783,2.9535299507633546e+37,2.1336870830333896e+36,3.0655104564416284e-33,4.348500154713404e-27,1.1328751583921113e+49,7.838690026267036e+47,1.1296061500665636e-21,0.0016367235622258046,0.006539499839204777,0.0013503023947087811,3.646700234720981e-05,0.717701546664352,1.7687750030080048e-05,0.2681544577318616,0.0016361946640486725,0.0004891806836006037,0.0022711773022297973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32787272.958229758,3.0557126989709717e+37,1.1228471730142407e+49,3.9429862478366506
