mass enclosed (Msun),dm (g),r (Rsun),dr (cm),T (K),log T,eps_grav (ergs/g s),eps_nuc (ergs/g s),eps_neu (ergs/g s),eps_a (ergs/g s),lum_gamma (ergs/s),lum_neu (ergs/s),lum_a (ergs/s),num_a (/s),X_c12,log X_c12,X_o16,log X_o16,X_ne20,log X_ne20,X_na23,log X_na23,X_h1,log X_h1,X_he3,log X_he3,X_he4,log X_he4,lum_nuc (ergs/s)
0.00010000105954687517,9.942154727011606e+28,0.00014175356507833064,2036291.7313233856,89476220.8225515,7.951707632660035,10.946965068493341,1.04477874321645e-16,6.927253416698526,7.254110271217123e-19,7.249882512140387e+29,1.3773403469488007e+30,145161746456.4421,2.0591542123037808e+17,0.07945672098028381,-1.0998693613741928,0.38579535511064317,-0.4136430054685995,0.4162752309945151,-0.38061942952261035,0.05120257876285575,-1.2907081656984745,0.0,-98.99999999999999,1.4363293219358467e-43,-42.84274597353235,3.288608144304105e-22,-21.482987872003818,20816649840454.6
0.0001716131498723321,1.4239418726445898e+29,0.00016975859160161893,1948309.6952251662,89458709.35679527,7.951622628206577,10.94264801020626,1.0410539098977136e-16,6.928109151190205,7.17361858617843e-19,1.2430239204081899e+30,2.3638628188119909e+30,247309905288.8516,3.5081503608996294e+17,0.07945612246782158,-1.0998726327354504,0.3857946956569523,-0.4136437478242033,0.4162762913275282,-0.3806183232925111,0.051203217805588015,-1.2907027454441211,0.0,-98.99999999999999,1.4525690080002363e-43,-42.837863226179074,3.299818844565523e-22,-21.481509901626684,35640652380291.83
0.00024322524019797982,1.4239418726483823e+29,0.00019072900069121986,1458911.3603635374,89441480.78430118,7.951538980738316,10.938401637032124,1.0373853588378302e-16,6.928952187333806,7.09526866176514e-19,1.7603449488612469e+30,3.3505053341243114e+30,348342406740.6239,4.9413206417933677e+17,0.07945553338270196,-1.099875852592615,0.38579404622354213,-0.41364447890108685,0.4162773352997728,-0.38061723413411797,0.0512038469838273,-1.2906974089248484,0.0,-98.99999999999999,1.4582497798561955e-43,-42.83616808046094,3.3108401633701896e-22,-21.480061785071516,50412416885507.37
0.00038644942084860854,2.8478837452835082e+29,0.0002226481127450459,2220612.625584677,89418470.54332499,7.951427237213125,10.932731577695561,1.0324783774654849e-16,6.930087818458373,6.991912525455509e-19,2.793075603124854e+30,5.324113779281796e+30,547463947037.51294,7.76590748007441e+17,0.07945474622374857,-1.099880155131012,0.3857931780051736,-0.41364545626938615,0.4162787306867525,-0.38061577835500554,0.05120468794697872,-1.2906902762057562,0.0,-98.99999999999999,1.4711203316889982e-43,-42.83235180228867,3.3255483611561334e-22,-21.478136732138797,79816200770913.81
0.0006728977821518425,5.695767490606319e+29,0.0002680407794170279,3157967.8203697894,89379021.91075061,7.951235597794826,10.923014420277894,1.0240533884000438e-16,6.932052944116745,6.818090547149393e-19,4.851974442987975e+30,9.272449959507994e+30,935806531902.1505,1.3274640248599662e+18,0.07945339562641147,-1.099887537471073,0.38579168705661093,-0.4136471346608707,0.4162811260541089,-0.38061327932789873,0.051206131557809814,-1.2906780323389258,0.0,-98.99999999999999,1.4883919476014039e-43,-42.82728268823511,3.350742905371704e-22,-21.474858893281347,138143900753855.97
0.0012457945047581606,1.139153498120966e+30,0.0003295014888773351,4275821.557153571,89313414.99431422,7.950916695399663,10.906864064299585,1.0100158186683382e-16,6.935372008063274,6.538202744048934e-19,8.947895767704989e+30,1.7172903243263501e+31,1680608184632.8945,2.383983044498192e+18,0.0794511464776491,-1.0998998315551012,0.3857892005716992,-0.4136499337625432,0.41628511841015997,-0.3806091142342156,0.05120853758207528,-1.2906576266085596,0.0,-98.99999999999999,1.4799379926206659e-43,-42.82975648056911,3.3925786973047473e-22,-21.469470069266226,253200206053210.84
0.0023915879499701444,2.2783069962406343e+30,0.0004102702207223221,5619080.674455743,89206487.99633901,7.950396441803705,10.880569924539937,9.870849808779066e-17,6.94091815301319,6.105641705247373e-19,1.7068171419535496e+31,3.2986445631607076e+31,3071660805993.263,4.3572245731607875e+18,0.07944747293287309,-1.0999199122862169,0.38578512957203964,-0.4136545166332244,0.41629164825788606,-0.38060230194507016,0.051212472737220946,-1.2906242542338737,0.0,-98.99999999999999,1.5284152800616778e-43,-42.815758629179584,3.4605752916383516e-22,-21.46085169738772,478088467835029.56
0.004683174840385067,4.5566139924632835e+30,0.0005148091889275417,7272776.018037129,89034247.82177408,7.9495570940494895,10.83828968437445,9.500965027507756e-17,6.950212381235562,5.466336246702101e-19,3.307680386624272e+31,6.46558806185366e+31,5562459228916.465,7.8904819152395e+18,0.07944153487289413,-1.0999523735208725,0.3857785229918186,-0.41366195400102884,0.41630222756239627,-0.38059126527111703,0.05121884798063785,-1.290570193951903,0.0,-98.99999999999999,1.6034600777291905e-43,-42.79494184848125,3.56957872210513e-22,-21.447383035837653,911010769697491.0
0.008642742462139372,7.873243342792664e+30,0.0006341028713230196,8299261.484253399,88783494.74372634,7.948332235959053,10.776913580436046,8.964478957515285e-17,6.964376148429148,4.649781691720007e-19,6.01505321625447e+31,1.194881087658604e+32,9223345503893.84,1.3083536957565506e+19,0.07943284285814077,-1.0999998940097224,0.3857687898974056,-0.4136729112790208,0.41631777141001575,-0.3805750499333692,0.05122821427848719,-1.2904907825682388,0.0,-98.99999999999999,1.8152092472038445e-43,-42.74107330469508,3.7269335061541903e-22,-21.428648355614264,1616806012436112.5
0.017180732876700702,1.697702441623909e+31,0.0008032213443155578,11765572.166090883,88373876.54703271,7.946323905871144,10.677129328703034,8.102828038214053e-17,6.9900526898960305,3.56283699862574e-19,1.1642478807283374e+32,2.3815840395302304e+32,15271982575568.758,2.1663673811026096e+19,0.0794185421287537,-1.1000780894611162,0.3857526290662494,-0.4136911053553552,0.4163434820606871,-0.3805482299182196,0.05124370536633007,-1.2903594745173423,0.0,-98.99999999999999,2.0365217942665846e-43,-42.691110937859314,3.980711483719263e-22,-21.40003929831878,2992425106889579.0
