slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),avg X_c12,avg X_o16,avg X_ne20,avg X_na23,surface lum_nuc_neu (ergs/s),surface lum_non_nuc_neu (ergs/s),surface lum_plas_neu (ergs/s),surface lum_brem_neu (ergs/s),surface lum_phot_neu (ergs/s),surface lum_pair_neu (ergs/s),surface lum_reco_neu (ergs/s),surface lum_nuc_gamma (ergs/s),surface lum_grav_gamma (ergs/s),MESA surface lum_gamma (ergs/s)
133.0,11.0,-10.0,6357.617664421273,23896612.186163504,297.3639102029897,1239420.3483616726,4331.424461711593,0.0,4.662724717566415e+20,0.0,0.0,0.0,1.8178385192699574e+31,0.0,0.0024889953125840666,0.006083494621983943,0.0012321516160785182,1.1971608418315217e-99,4.662724717566415e+20,0.0,0.0,0.0,0.0,0.0,0.0,9.92672905456167e+24,0.0,6.068378809120451e+36
134.0,11.0,-10.0,6669.849770134412,23896299.95405779,312.2321057131392,1263687.5904111858,4342.531700128897,0.0,6.042440655907243e+20,0.0,0.0,0.0,2.412810561535817e+31,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315215e-99,6.042440655907243e+20,0.0,0.0,0.0,0.0,0.0,0.0,1.2855301053933314e+25,0.0,6.095828583047551e+36
135.0,11.0,-10.0,6997.693481133208,23895972.110346794,327.8437109987962,1289503.2844889895,4350.975971620252,0.0,7.90321503860195e+20,0.0,0.0,0.0,3.229914422829943e+31,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315213e-99,7.90321503860195e+20,0.0,0.0,0.0,0.0,0.0,0.0,1.6785768294617094e+25,0.0,6.123303349042333e+36
136.0,11.0,-10.0,7316.514493456877,23895653.28933447,318.8210123236695,1314977.166169528,4359.153984235671,0.0,1.0229724231785272e+21,0.0,0.0,0.0,4.258445621344148e+31,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315215e-99,1.0229724231785272e+21,0.0,0.0,0.0,0.0,0.0,0.0,2.1693772815864778e+25,0.0,6.167496662953095e+36
137.0,11.0,-10.0,7633.737873439213,23895336.065954488,317.2233799823353,1340751.2577145954,4367.269494348342,0.0,1.3192888519911824e+21,0.0,0.0,0.0,5.578256451437056e+31,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315215e-99,1.3192888519911824e+21,0.0,0.0,0.0,0.0,0.0,0.0,2.7961016122768435e+25,0.0,6.229718799036331e+36
138.0,11.0,-10.0,7966.822422420665,23895002.981405504,333.0845489814521,1368357.6623383176,4375.786210138506,0.0,1.720018962204971e+21,0.0,0.0,0.0,7.384990915538614e+31,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.197160841831521e-99,1.720018962204971e+21,0.0,0.0,0.0,0.0,0.0,0.0,3.649827836538354e+25,0.0,6.315413248724903e+36
139.0,11.0,-10.0,8316.56119885119,23894653.242629074,349.73877643052475,1398031.0076309426,4384.810109392417,0.0,2.2693678011601128e+21,0.0,0.0,0.0,9.887958826696579e+31,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315213e-99,2.2693678011601128e+21,0.0,0.0,0.0,0.0,0.0,0.0,4.835845673668618e+25,0.0,6.430793864849764e+36
140.0,11.0,-10.0,8656.057439398892,23894313.74638853,339.49624054770317,1427570.3219678716,4393.748329154229,0.0,2.967665498522317e+21,0.0,0.0,0.0,1.3065246399151479e+32,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315213e-99,2.967665498522317e+21,0.0,0.0,0.0,0.0,0.0,0.0,6.372706741531551e+25,0.0,6.57115296818551e+36
141.0,11.0,-10.0,8992.398833285353,23893977.40499464,336.3413938864621,1457660.0099552236,4402.920204714625,0.0,3.871034302912451e+21,0.0,0.0,0.0,1.7171199140470314e+32,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315215e-99,3.871034302912451e+21,0.0,0.0,0.0,0.0,0.0,0.0,8.411494016976167e+25,0.0,6.741386616861817e+36
142.0,11.0,-10.0,9345.55729686614,23893624.24653106,353.1584635807852,1490293.9354983526,4413.095285236336,0.0,5.12137625842588e+21,0.0,0.0,0.0,2.2874981025166457e+32,0.0,0.002488995312584066,0.00608349462198394,0.0012321516160785182,1.1971608418315213e-99,5.12137625842588e+21,0.0,0.0,0.0,0.0,0.0,0.0,1.1327716169099678e+26,0.0,6.957914687235749e+36
