slice,mass (Msun),coupling,age (years),time to core O depletion (years),dt (years),core T (K),effective T (K),surface lum_gamma (ergs/s),surface lum_neu (ergs/s),surface lum_a (ergs/s),surface num_a (/s),cumulative e_gamma (ergs),cumulative e_neu (ergs),cumulative e_a (ergs),max T (K),avg X_c12,avg X_o16,avg X_ne20,avg X_na23
36.0,8.99998844515046,-10.0,35390.093749254556,24864768.34976491,5906.682291542424,31510052.340480074,24586.101495501687,1.5534632456579975e+37,8.093108653079843e+28,5.1013564110331306e-36,7.236396501604361e-30,1.7663503918864846e+49,9.03363108019835e+40,5.169369751906931e-24,31510052.340480074,0.0016310760613245517,0.006531001676470696,0.001350302459539716,3.9553113264318096e-05
37.0,8.999986205050662,-10.0,42478.11249910546,24857680.331015058,7088.018749850908,31511722.047012836,24584.170315123603,1.5514420370988856e+37,8.096135883852995e+28,5.424170284834438e-36,7.694315729124486e-30,2.1131407541157313e+49,1.084334219326627e+41,6.3818223817121126e-24,31511722.047012836,0.0016189456668792201,0.006526589507823881,0.0013503025072284015,4.053513506117103e-05
38.0,8.999983518231117,-10.0,50983.73499892655,24849174.708515238,8505.62249982109,31513908.366000712,24583.48154186669,1.5512395350518847e+37,8.100304138098917e+28,5.8045678046530036e-36,8.233918740527597e-30,2.529234870996245e+49,1.301611359358589e+41,7.93880082377417e-24,31513908.366000712,0.0016057271508602051,0.006521306746988874,0.0013503025678516076,4.1645820724890256e-05
39.0,8.999980294470243,-10.0,61190.48199871186,24838967.961515453,10206.746999785308,31515455.056840353,24582.332654863458,1.5516655609370844e+37,8.103031120060517e+28,6.210001985030067e-36,8.80903685581279e-30,3.028684940453451e+49,1.5624317034850656e+41,9.93767609743787e-24,31515455.056840353,0.0015914817091834494,0.006514988828910483,0.0013503026451064683,4.288712456292763e-05
40.0,8.999976426417499,-10.0,73438.57839845422,24826719.86511571,12248.096399742368,31515473.25783156,24579.89536159065,1.5522288760395844e+37,8.102320540221051e+28,6.605462984032053e-36,9.370007773961084e-30,3.6282426076223385e+49,1.8753886698664597e+41,1.2489075596834696e-23,31515473.25783156,0.001576318185591667,0.006507446902906905,0.0013503027436367182,4.425452092750148e-05
41.0,8.999971785517447,-10.0,88136.29407814506,24812022.14943602,14697.71567969084,31511251.369154416,24575.5978023534,1.5529481338308643e+37,8.093670304703768e+28,6.594895669400353e-36,9.355017784540467e-30,4.3480451893623515e+49,2.250536084912889e+41,1.5545856970099424e-23,31511251.369154416,0.0015583158604616362,0.006498449392523765,0.001350302863829085,4.5838686516305315e-05
42.0,8.99996621715967,-10.0,105773.55289377406,24794384.89062039,17637.258815629008,31513985.45134058,24574.846056903487,1.5507762785130854e+37,8.097683829005006e+28,7.152147218497181e-36,1.0145492480971494e-29,5.210600282857673e+49,2.7009362186394657e+41,1.9523942718649958e-23,31513985.45134058,0.0015423371877873267,0.006487710136857949,0.0013503030182597695,4.7534252345580645e-05
43.0,8.999959533205923,-10.0,126938.26347252888,24773220.180041637,21164.71057875481,31508257.635272596,24568.335145657817,1.553116144656546e+37,8.083479658939025e+28,7.411709094910451e-36,1.0513687232148752e-29,6.24722813944145e+49,3.2404683213359808e+41,2.4470890272516607e-23,31508257.635272596,0.0015258194272280195,0.006474979683003106,0.0013503032149912511,4.9303720133705216e-05
44.0,8.99995151177301,-10.0,152335.91616703465,24747822.52734713,25397.652694505774,31497099.55177828,24558.88232388619,1.5538004029779834e+37,8.056751385720553e+28,7.442953870472935e-36,1.055800869615875e-29,7.491729617458806e+49,3.885766069253329e+41,3.0432252539424074e-23,31497099.55177828,0.0015088092955710104,0.006459965389575707,0.0013503034637046016,5.1101607739398924e-05
45.0,8.999941881865768,-10.0,182813.09940044157,24717345.344113722,30477.183233406926,31482021.507439297,24547.429090112088,1.554098135683628e+37,8.02068392393918e+28,7.289639666415996e-36,1.0340528818163084e-29,8.985417550453657e+49,4.656656820388792e+41,3.743853261633601e-23,31482021.507439297,0.0014914761446520406,0.00644233531989994,0.0013503037756744814,5.287551603629072e-05
46.0,8.999930315710618,-10.0,219385.71928052988,24680772.724233635,36572.61988008831,31463180.94620406,24533.85665575027,1.5544268860691148e+37,7.975642648449081e+28,6.960078392755288e-36,9.873038242004802e-30,1.0778222235665782e+50,5.5765308675931836e+41,4.5465967849092625e-23,31463180.94620406,0.0014739785988686339,0.006421729272362513,0.0013503041634970385,5.456916436843492e-05
47.0,8.999916417995504,-10.0,263272.86313663586,24636885.58037753,43887.14385610597,31439898.1460654,24517.453770592565,1.5549746681445533e+37,7.919933297278296e+28,6.454159342536914e-36,9.155379927212834e-30,1.2930346001990117e+50,6.6726694109377096e+41,5.439868553078458e-23,31439898.1460654,0.0014564108022435778,0.006397784610918856,0.0013503046409502125,5.611982342870467e-05
48.0,8.999899711346405,-10.0,315937.43576396303,24584221.007750202,52664.572627327165,31412545.339910675,24498.38248497431,1.5556105679152286e+37,7.854494562239735e+28,5.8134343797103914e-36,8.246496190044303e-30,1.5513950642971525e+50,7.977167401765941e+41,6.405381153291079e-23,31412545.339910675,0.0014389603539618386,0.006370117880450719,0.0013503052222055092,5.748288312890279e-05
49.0,8.999879618096294,-10.0,379134.9229167556,24521023.52059741,63197.48715279259,31380848.772625666,24476.224027869448,1.5565200903637795e+37,7.778578401057296e+28,5.079278596245316e-36,7.205078591460291e-30,1.8616088886710022e+50,9.527434930545382e+41,7.417679322878627e-23,31380848.772625666,0.0014216851290995292,0.006338361113972468,0.0013503059218627946,5.862590007959485e-05
50.0,8.999855438550073,-10.0,454971.9075001067,24445186.536014058,75836.9845833511,31345348.95077901,24451.10093820896,1.5577079882395344e+37,7.693303617689012e+28,4.316215615870884e-36,6.12265544028763e-30,2.2341495749989604e+50,1.1367361689284262e+42,8.449943354401797e-23,31345348.95077901,0.001404694509329889,0.006302148463415334,0.0013503067548346723,5.954162793592607e-05
51.0,8.999826323694469,-10.0,545976.289000128,24354182.154514037,91004.38150002134,31305978.00957268,24422.60623408469,1.559341336137714e+37,7.59822801153166e+28,3.568742462993047e-36,5.062346833574749e-30,2.6816671554210767e+50,1.3547987916790293e+42,9.474141812543143e-23,31305978.00957268,0.001388002218790891,0.006261168140128295,0.00135030773639353,6.0240320597699293e-05
52.0,8.999791241364584,-10.0,655181.5468001537,24244976.89671401,109205.2578000256,31262704.858410083,24390.177827562846,1.5615005344379404e+37,7.492816074404721e+28,2.8728909061811122e-36,4.075264699799656e-30,3.219431857584627e+50,1.6128436604288748e+42,1.0463535852723191e-22,31262704.858410083,0.0013716471850617317,0.006215204835976639,0.001350308882110082,6.074876421014848e-05
53.0,8.999748933856331,-10.0,786227.8561601845,24113930.58735398,131046.30936003072,31217319.821932856,24354.549284585115,1.5642181156506841e+37,7.380885703726851e+28,2.2748959364961427e-36,3.226994483422254e-30,3.865872588558442e+50,1.9178717829018455e+42,1.1403676730369395e-22,31217319.821932856,0.0013557768377121103,0.0061640525572460155,0.0013503102098212246,6.111058279787675e-05
54.0,8.999697866734815,-10.0,943483.4273922213,23956675.016121943,157255.57123203683,31169669.915418133,24314.692772012815,1.5677438961481148e+37,7.261074945301647e+28,1.772464200054155e-36,2.5142830069176203e-30,4.643349974914485e+50,2.2779638607264698e+42,1.228267924924609e-22,31169669.915418133,0.0013403016892154633,0.006107697860360096,0.0013503117386206526,6.136818227558982e-05
55.0,8.999636161356076,-10.0,1132190.1128706655,23767968.330643497,188706.6854784442,31121652.07906966,24271.07364549269,1.5722124110175276e+37,7.136593377999898e+28,1.3737162001026225e-36,1.9486493990343725e-30,5.578982075885361e+50,2.7026663887844578e+42,1.3100185182562003e-22,31121652.07906966,0.0013253503599318026,0.006046204321724815,0.0013503134917091245,6.156172452400653e-05
56.0,8.999561508150542,-10.0,1358638.1354447985,23541520.308069367,226448.02257413304,31074820.386498984,24223.548994126344,1.577866274353497e+37,7.0094938727401745e+28,1.068642587878379e-36,1.5158951583275896e-30,6.7057781705954866e+50,3.203232910173247e+42,1.3863331156485337e-22,31074820.386498984,0.001310915938226362,0.0059797773739120215,0.0013503154971096186,6.172241351883583e-05
57.0,8.999471060363721,-10.0,1630375.7625337583,23269782.680980407,271737.6270889596,31030474.126478717,24171.268701302968,1.5849918848413402e+37,6.880126448319392e+28,8.405817546494723e-37,1.1923853929323879e-30,8.064039788844395e+50,3.792826571366462e+42,1.4583669188029888e-22,31030474.126478717,0.0012969735341855837,0.005908886160627336,0.0013503177878005992,6.187131840065491e-05
